,,ID,CAS, Ec50 (um) ,,smiles
0,Tetrabromo bisphenol A,TBBPA,79-94-7,4.5,,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br
1,"Tris(1,3-dichloro-2-propyl)phosphate",TDCPP,13674-87-8,650.58,,C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl
2,Triphenyl phosphate,TPP,115-86-6,459.41,,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3
3,Benzyl Butyl Phthalate,BBP,85-68-7,4.1,,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2
4,Methyl paraben,MP,99-76-3,220.65,,COC(=O)C1=CC=C(C=C1)O
5,Butyl paraben,BP,94-26-8,116.6,,CCCCOC(=O)C1=CC=C(C=C1)O
6,4-Nonylphenol,4-NP,104-40-5,39.81,,CCCCCCCCCC1=CC=C(C=C1)O
7,Sodium benzoate,SB,532-32-1,"2,362.11",,C1=CC=C(C=C1)C(=O)[O-]
8,Perfluorohexane sulfonic acid,PFHxS,355-46-4,481.06,,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F
9,Perfluoroheptanesulfonic acid,PFHpS,375-92-8,313.04,,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F
10,Perfluorooctanesulfonic acid,PFOS,1763-23-1,127.85,,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
11,Perfluorodecanoic acid,PFDA,335-76-2,535.67,,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
12,Perfluoroundecanoic acid,PFUnA,2058-94-8,123.34,,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
13,Bisphenol A,BPA,080-05-7,2.29,,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
14,Bisphenol P,BPP,2167-51-3,4.57,,CC(C)(C1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O)C3=CC=C(C=C3)O
15,Bisphenol AP,BPAP,1571-75-1,3.55,,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O
